Timestamp,What class year are you?,What grade did you receive in Civil Procedure?,What grade did you receive in Contracts?,What grade did you receive in Criminal Law/Torts?,Did your expectations match up with the grades you received?,Do you feel the grades received match your understanding of the course material?,Do you feel the grades received reflect the level of effort you put in last semester?,Do the grades you received feel arbitrary?,How does the grading system at NYU affect your mental health? Explain:,Do you feel a different grading system is warranted?,Would you prefer a Pass/Fail grading system for 1L?,"Do the grades you received change your future plans (internship, career etc.)",What do you plan on doing after you graduate? (feel free to select multiple),Would you prefer the proposed grading system to the grading system NYU Law currently has?,How do you think the proposed grading system would affect your mental health? ,Please share how you think the proposed grading system would impact you:,Please provide any additional feedback or comments you wish to share about the proposed grading system:,What is your racial/ethnic identity?,What is your gender identity?,Do you identify as LGBTQ+,Do you identify as a person with a disability?,Are you a first-generation professional?
2/22/2020 9:55:37,1L,B,B,B+,Disagree,Disagree,Strongly Disagree,Strongly Agree,"It causes me to feel extremely stressed out, anxiety plagued, and helpless. The most miniscule thing can change your grade notably, and even if you did answer correctly and address the fact pattern well your grade may not reflect that because even if everyone does A work it seems not everyone is allowed to get that grade. It makes me feel helpless. Like no matter how hard I try it won't make a difference. ",Strongly Agree,Strongly Agree,Neutral,Public Interest/Government,Yes,"It would be greatly improved. I would be less stressed and anxious, and definitely feel less helpless. ",Improved mental health and a feeling that more of what I do at actually has an impact. ,Better than now,White,Female,No,Yes,Yes
2/22/2020 9:55:51,1L,B,B-,B,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,N/A,Yes,Neutral,Neutral,Neutral,Prefer Not to Answer,Neutral,Prefer Not to Answer,Prefer Not to Answer,Prefer Not to Answer
2/22/2020 9:56:15,1L,A-,A-,A,Neutral,Agree,Strongly Agree,Disagree,It stresses me out but only in having to wait so long for the grades to be released.,Strongly Agree,Strongly Disagree,Strongly Disagree,Private Law,No,,,,White,Male,No,No,Yes
2/22/2020 9:56:20,1L,B,A-,B+,Disagree,Disagree,Strongly Disagree,Neutral,"My anxiety about grades has led to seeing a therapist and around November I was prescribed an anti-anxiety/anti-depressant, which I now take daily to help me cope. This isn’t an exaggeration, this is the absolute truth. Obviously other factors were involved but the pressure to perform well in 1L was the #1 factor that led to the need for medical intervention. ",Agree,Strongly Agree,Agree,Private Law,Yes,"It would take the pressure of needing to perform well and having something to “show” for your hard work off, which reduces stress. ",I would have felt less stress and depression/anxiety.,,White,Female,No,No,No
2/22/2020 9:57:20,1L,B,B,B,Disagree,"Disagree, Strongly Disagree","Disagree, Strongly Disagree",Agree,"So many people are so stressed about grades, the stress almost becomes contagious. I feel like the school could do a much better job teaching us how to prep for and take these exams (in lawyering?!?) and how to make the most of a study group. It feels like certain socio-economic groups have an advantage despite the common propaganda line that law school exams are a “meritocracy” ",Agree,Strongly Agree,"Strongly Agree, Agree","Private Law, Clerkship",Yes,"Greatly improve it and allow me to focus on learning how to do well in law school rather than frantically trying to “outgun” classmates with horn books, E&Es, tutors, etc. ",It would reduce my stress greatly. ,Expand the tutoring system and provide more 1on1 tutoring. ,White,Female,No,No,No
2/22/2020 9:58:41,1L,A,B+,B+,Agree,Neutral,Agree,Agree,Negatively,Neutral,Agree,Strongly Agree,Private Law,No,Positively,,"I’d support a pass, pass+ system ",White,Male,No,No,No
2/22/2020 9:59:18,1L,A-,A,B+,Disagree,Neutral,Agree,Agree,"Grades suck, the whole process of comparison via this one exam on this one day is incredibly detrimental to mental health",Agree,Neutral,Agree,"Private Law, Public Interest/Government, Clerkship",No,I think it would be good for mental health ,"It might make me work less hard if everything was just pass/fail without gradations of honor, pass, fail ",I worry about the impact just having pass/fail for 1L might have on the school’s reputation. I don’t think any other schools have just pass or fail without gradations ,Middle Eastern,Female,No,Prefer Not to Answer,Yes
2/22/2020 10:00:35,1L,A-,A,A,Neutral,Agree,Strongly Agree,Neutral,It definitely harms it. ,Strongly Agree,Strongly Agree,Disagree,"Public Interest/Government, Clerkship",Yes,It would positively impact my mental health,"I think it would make for a more effective learning environment. So much of my learning energy is spent prepping for exams instead of thinking deeply and creatively about the law. If 1L grades were pass/fail I feel this trend would change.

Also, the current grading system is pedagogically bankrupt. It’s purely comparative, and tells me nothing about how much i learned, but only about how effective i was at taking an exam in 3.5 hours compared to others. 

It also provides 0 opportunity for feedback or growth.  I would much rather have formalized opportunities for feedback spread through the semester ",,White,Male,Yes,No,Yes
2/22/2020 10:01:48,1L,B,B+,B+,Disagree,Strongly Disagree,Strongly Disagree,Agree,"The grade distribution made me feel like I am less smart than x% of my classmates, while simultaneously frustrating me because grading also seems arbitrary. After receiving my grades I felt bad about myself intellectually, and worried about my future (particularly in the context of grade-sensitive firms and clerkships).",Agree,Strongly Agree,Agree,"Private Law, Public Interest/Government, Clerkship",Yes,Greatly. I feel like I would be able to prepare for finals/class better and care more about engaging with the material than grades.,"I would feel less anxiety about EIW and clerkships, and feel less of an inclination to compare myself against my peers.",,"White, Asian",Female,No,No,No
2/22/2020 10:02:12,1L,B,B,B,"Neutral, Disagree",Disagree,Disagree,Agree,adds and extra level of stress/helplessness that no matter how much I understand the material there’s a good chance that the grade I receive won’t be reflective of that understanding ,Agree,Agree,Neutral,Private Law,Yes,Make the stress of 1L much less burdensome; can focus on learning more than just test prep. ,,,White,Male,No,No,No
2/22/2020 10:02:35,1L,B,B+,B,Agree,Agree,Agree,Disagree,"The grading system creates an overall level of stress and competition that is detrimental to the first semester experience of 1Ls, especially for students with very high stress and anxiety levels. The environment would be more collaborative and intellectually stimulating if there was less of an emphasis on grades, even if just in the first semester. ",Agree,Agree,Disagree,Private Law,Yes,"I'm generally a pretty low-stress person, so I don't think a different grading system would have such a profound effect on my mental health, but the collective stress about grades and jobs (while trying to figure out how to study for exams to begin with because as a 1L it takes a lot of trial and error to figure out what works) makes the environment of the law school during finals really unpleasant. ",,"The students at NYU are generally self-motivated, so I don't think that they would work less hard if there were no grades, especially if there was some kind of indicator of how x person would've done had there been traditional grades (as a reference for future semesters). I think by second semester of 1L, students have a much better grasp on how to study and what works for them, so a traditional grading system would be less detrimental to the student experience even just one semester later. I also think there's an over-emphasis on the importance of grades in the job process. I'm sure they can be a useful differentiator in some instances, but more than anything else I think they just cause a lot of unnecessary stress during a time when no one really knows what they're doing. To be fair, I don't think grades are necessarily arbitrary. I think my friends who were the most regimented and focused from the beginning did end up doing the best, but those grades didn't necessarily contribute to a more successful job search or better 1L summer opportunities. In sum, I don't personally hate the grading system, and I don't think it had much of an effect on 1. my mental health, or 2. my job opportunities (even despite my very average grades); but I also think it fosters an overall unhealthy, competitive learning environment where the majority of students are experiencing ridiculously high stress levels while trying to compete against their friends for the highest grades. ",Latinex/Hispanic,Female,No,No,Yes
2/22/2020 10:04:14,1L,B,B+,B,Disagree,Disagree,Disagree,Agree,It is disastrous for my mental health. The competition with other students is extremely detrimental to the school culture. It also forces students to think LESS in class because the exam process is all the matters. It discourages deep thinking about issues. The grading system should be changed immediately to either no grades or fewer gradations.,Strongly Agree,Strongly Agree,Agree,Public Interest/Government,Yes,"It would be a dramatic improvement. The competitive, contrived, arbitrary current system is horrendous. For the sake of future students, change it now. It is too late for many generations of students already.","It would immeasurably improve my life. I would be able to actually think about the law rather than just a test. I would be able to engage with the issues rather than learn them always through the prism of ""how does this matter for the exam.""",Please change the grading system now. It is an urgent matter for the health and wellbeing of students.,White,Male,Prefer Not to Answer,No,No
2/22/2020 10:04:17,1L,A-,B,B+,Disagree,Disagree,Neutral,Agree,The seemingly arbitrary nature off grades adds stress.,Agree,Agree,Disagree,Private Law,Yes,,,,White,Male,Yes,No,Yes
2/22/2020 10:06:59,1L,B+,A-,B+,Neutral,Disagree,Agree,Strongly Agree,Stress,Strongly Agree,Strongly Agree,Neutral,Private Law,Yes,,,,White,Male,No,No,No
2/22/2020 10:09:44,1L,A,A-,A,Neutral,Strongly Agree,Agree,Agree,"No differently than the curve grading I experienced as an undergrad. It is what it is, I have to deal with it, so there’s no point getting worked up over it.",Neutral,Strongly Disagree,Neutral,"Private Law, Public Interest/Government, Clerkship",No,It would be better on people’s mental health for sure.,"I feel like I was very lucky with my first semester grades. Everyone studied hard, and I feel like changing the one-test format would be a better resolution than eliminating. There needs to be some way to distinguish people.","Eliminating the one-test format is probably a better way to solve this issue than getting rid of grades. People have been getting grades for - 100 years, it may not be ideal, but there needs to be a way to distinguish people. Coming straight through from undergrad, grades was one of the only ways I could really stand out as against people with more work experience, and I worked hard to do just that.","White, Latinex/Hispanic",Male,No,No,No
2/22/2020 10:10:08,1L,B,B+,B+,Strongly Disagree,Strongly Disagree,Agree,Agree,"I felt deeply discouraged and after meeting with 2 out of my 3 professors, it was clear that they felt I had written good exams but grades were lowered bc of the curve. ",Strongly Agree,Strongly Agree,Agree,"Private Law, Public Interest/Government, Clerkship",Yes,,,I would include Honors Pass in 1L as well. ,White,Female,No,No,No
2/22/2020 10:10:45,1L,B,B,B+,Neutral,Disagree,Neutral,Strongly Agree,Didn't affect me that much,Neutral,Neutral,Disagree,Public Interest/Government,No,I don't know it would change,,I think my section had a very collaborative atmosphere even with the current grading system ,Latinex/Hispanic,Male,No,No,No
2/22/2020 10:11:33,1L,B,B,B+,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,"It affects it negatively because it becomes a point of obsession in the second semester that can be anxiety-inducing when approaching the new material. The arbitrary nature of grading is particularly demoralizing. In the shadow of grades, it can be hard to maintain the level of interest that I brought to my subjects in the first semester.",Strongly Agree,Strongly Agree,Agree,Private Law,Yes,It would affect it very positively because I can focus throughout the year on actually mastering the material rather than how to game the final exam. I can also carry with me a sense of mastery that is inherently personal and should not be considered relative to the progress of other classmates. ,"Very positively. I believe that I would work harder and learn the material better on the proposed grading system, while developing more collaborative relationships with my classmates. In the current system, I noticed there was a huge cliff in the ""collegial spirit"" around the time of exams and through the start of the second semester. I believe this cliff is attributed to competitive spirits as well as insecurity are summer internships in the shadow of grades. ",Thank you for coordinating this much-needed reform. ,Asian,Male,No,No,No
2/22/2020 10:14:32,1L,B,B,B+,Strongly Agree,Agree,Agree,Strongly Agree,Insurmountable stress in November and December,Agree,Strongly Agree,Neutral,Private Law,Yes,,,,Black,Female,No,No,Yes
2/22/2020 10:15:14,1L,B,A,B,Neutral,Agree,Agree,Agree,"Generally not too concerned about my grades, although it would have been much less stressful if they all came out at the same time",Neutral,Strongly Disagree,Disagree,Public Interest/Government,No,,"Honestly, it would probably cause me to slack off in the classes I wasn’t interested in. ",,White,Female,No,No,No
2/22/2020 10:16:42,1L,B+,B+,B,Disagree,Disagree,Disagree,Neutral,"It induces significant stress and anxiety, even/especially when I should be resting over the holiday break.",Agree,Agree,Strongly Agree,"Private Law, Clerkship",Yes,I think it would significantly reduce the stress and anxiety from the somewhat arbitrary system we have now. ,I think it would allow me to focus more on simply learning the material as best as I can.,"I think the above system is definitely an improvement over the current one, but I would add that a part of the seeming arbitrariness of the current system is putting an entire class grade on one single examination of knowledge. Even if the above proposal was not able to get past the faculty, I think that it would significantly help people’s mental health to have at least one mid-term, paper, or some other opportunity to get feedback on how they are understanding the material, prior to taking the final exam.",White,Male,Yes,No,No
2/22/2020 10:17:59,1L,B,B,B+,Disagree,Disagree,Disagree,Agree,I was very sad and stressed after receiving my grades. I felt very disappointed and discouraged going into the spring semester. ,Strongly Agree,Disagree,Neutral,"Private Law, Public Interest/Government",No,"I wouldn't like the pass fail system b/c I think having pass and high pass ends up creating competition anyways. I just don't think that we should have a mandatory B-, and I think that the current 1L curve is too harsh.",,,"White, Asian",Female,No,No,No
2/22/2020 10:19:51,1L,A,A,A-,Neutral,Agree,Agree,Agree,"Even though I’m happy to have received good grades, it makes me uncomfortable to know that people who worked harder than I did and in many cases had a better understanding of the content got worse grades. I definitely feel imposter syndrome because I don’t think I deserved these more than others. ",Agree,Disagree,Agree,"Public Interest/Government, Clerkship",No,Maybe just as much imposter syndrome?,I think it would make me constantly second guess whether I had understood the content. I don’t care about my grades themselves so much as having some feedback letting me know that I got what I needed to get from each course.,"I think I’d prioritize changing the evaluation structure. 1L fall could be changed to be pass/fail to make it an easier transition (maybe with shadow grades that don’t show up on official transcripts), but I think my main issue is with the law school exams. Introducing a mid-term, or assignments, or something else that allows us to interact with the content before screaming it all through our keyboards for a few hours would be really beneficial. People who don’t perform as well on exams have a chance to demonstrate what they know. ",White,Female,Prefer Not to Answer,No,No
2/22/2020 10:20:17,1L,B+ ,B+ ,B+ ,Neutral,Disagree,Disagree,Agree,"It makes interactions and discussions about classes feel extremely competitive, and even though I did median/slightly above median I feel inadequate every single time I hear about someone getting even just a marginally better grade than me. In general, thinking about grades makes me feel hopeless and stupid. ",Strongly Agree,Strongly Agree,Neutral,"Private Law, Public Interest/Government, Clerkship",Yes,,,,White,Female,No,No,No
2/22/2020 10:20:44,1L,A,A-,A,Neutral,Agree,Strongly Agree,Neutral,Negatively - feels like a zero sum game ,Neutral,Neutral,Strongly Agree,"Public Interest/Government, Clerkship",No,,,,White,Female,No,No,No
2/22/2020 10:21:06,1L,B,A-,B+,Neutral,Disagree,Disagree,Agree,"Pretty negatively—I didn't really get any sleep during the last month of the semester, and knowing that I am in the bottom 40% has been pretty hard this semester (reluctant to apply for jobs, get involved, participate in class, etc.). It's also a little frustrating that all of our professors say exam grades are arbitrary and don't matter, but jobs, research assistant positions, etc. all require transcripts—there seems to be a bit of a disconnect there.",Strongly Agree,Strongly Agree,Strongly Agree,"Private Law, Public Interest/Government",Yes,"I think I could focus more on understanding the material more deeply and trying to develop my interests, and less on how I'll probably fail my next set of exams. It would probably lead to more productive stress/effort, overall.","It probably wouldn't affect me personally since I've already finished my first semester and my grades won't be erased, but I do think it's important to change this going forward so that others who don't know what to expect from law school exams won't be at a disadvantage from the beginning.","I think it's a really good idea, and it wouldn't be that absurd since it's similar to the systems that other top law schools have adopted.",White,Female,Prefer Not to Answer,Prefer Not to Answer,No
2/22/2020 10:21:23,1L,B,B,B+,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,"It’s extremely disheartening to get an “average” grade after spending months committing my life to learning and understanding the material. When I received a B in civil procedure I understood why, as I had struggled with the material all semester. But when I received a B in contracts, I was shocked and upset because I thought I’d do much better. ",Disagree,Agree,Disagree,Private Law,Yes,This would make 1L year much less stressful ,,,White,Female,No,No,No
2/22/2020 10:22:22,1L,B,B,A-,Agree,Disagree,Disagree,Disagree,Stressed,Agree,"Strongly Agree, Agree",Neutral,"Private Law, Public Interest/Government",Yes,Less stress,,,Asian,Female,No,No,No
2/22/2020 10:23:09,1L,B,B,B,Agree,Disagree,Disagree,Agree,I felt nothing when gradea came in. I was so stressed and anxious all through exams.  Then I saw my scores and realized none ld it really mattered ,Agree,Neutral,"Agree, Neutral","Private Law, Public Interest/Government, Clerkship",Yes,I would work just as hard still.  Getting a.b feels like a pass so I don't think I works mind that much. ,I would feel like it was less arbitrary ,,Black,Male,No,No,No
2/22/2020 10:29:41,1L,A-,B,A,Neutral,Neutral,Neutral,Agree,"Not in a positive way, certainly! For one, it feels less like my understanding of the material is being tested and more like I'm running some kind of weird sprint against 89 very smart people, which is very stressful to think about. There's also this weird doublethink of the administration saying ""try to relax, grades aren't everything"", but at the same time everyone knows grades are the biggest determinant of which clerkships you can get and what firms interview you. How does that not drive you insane? Lastly, professors don't really tell you how to get an A. I don't know how much of my best grades are paying attention in class and how much is reading Open Book and how much is just dumb luck. ",Agree,Agree,Disagree,"Public Interest/Government, Clerkship",No,Well. ,"I think I'd spend more time focusing on thinking about the law and what I want to do with my life and making connections, and less time freaking out about what hypo I'm going to get on test day. ",,White,Male,No,No,No
2/22/2020 10:32:27,1L,B,B+,B,Neutral,Disagree,Strongly Disagree,Strongly Agree,"I had a different experience where I had surgery during first semester so it’s hard to say what I would have gotten had I not been in the hospital and missed class, but when I went to my professors to go over my exam I got almost no constructive criticism except to type faster. ",Strongly Agree,Strongly Agree,Disagree,Private Law,Yes,I think it would make morale of the class better overall and put less stress on students. I also think job applications would then be based more on who is this best fit vs who got better grades,"I would have felt a lot more relaxed when I got sick and had to have surgery, I think this system is good because it recognizes that life gets in the way sometimes. Law school isn’t super attentive to that fact right now ",,White,Female,No,Yes,Yes
2/22/2020 10:37:42,1L,B,B,B,Neutral,Disagree,Strongly Disagree,Agree,"The competitiveness among my peers, drive to be strategic rather than knowledgeable, and ridiculous amount of time spent preparing for finals to keep up with the curve all negatively impact my mental health and self image.",Strongly Agree,Strongly Agree,Strongly Disagree,Public Interest/Government,Yes,,,,White,Female,Yes,Yes,Yes
2/22/2020 10:38:23,1L,A,B,A,Neutral,Disagree,Disagree,Neutral,"I think I went in with a fairly healthy mindset about the arbitrariness of grades, but I think the general culture around grades creates a lot of stress even if you try to have that mindset. ",Agree,Agree,Neutral,"Public Interest/Government, Clerkship",No,"To a certain extent, I would worry that there would still be stress and competitiveness around Honors. I also wonder how that would effect people trying to ingratiate themselves to professors and do other things to take the esteem place of grades.",,I have mixed feelings and would need to learn more about the proposed system. I completely agree with at least getting rid of the B-. ,White,Female,No,No,No
2/22/2020 10:39:29,1L,B,B,A-,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,"It’s a bit draining, especially knowing that you can work really hard and still not do well, or that you can work less hard and have a shallower knowledge of the material and get rewarded for it. In fact, it has changed my approach to make sure I’m not giving my classes the full effort I gave last semester because it won’t matter either way, and I might as well get to the gym more often. 

Also, having tried the “learning for its own sake” approach I’ll admit I’m more cynical when people say “grades don’t matter.” They objectively do. I appreciate the Student Affairs team for trying to spread a different word, but it’s really frustrating knowing now that in law you can’t just pursue your passions or things you’re good at - you need a set of (meaningless) totemic accomplishments in order to get where you want.",Agree,Agree,Strongly Agree,"Private Law, Public Interest/Government, Clerkship",Yes,"it would certainly encourage me to collaborate more with colleagues, knowing that I am no longer incentivized to hope others do poorly. ",It would probably encourage me to actually learn the damn material at as deep a level as I could. ,"Might make more sense as first semester only, as they do at Yale. Then again, we’re not Yale and can’t ride on that level of fanciness alone. So I don’t know. All I do know is removing the curve element will encourage me to learn the material and want to collaborate with others. ",White,Male,No,No,No
2/22/2020 10:46:08,1L,A,A,A,Agree,Agree,Agree,Neutral,"I was certainly nervous while waiting for my exam grades. At the same time, the pressure to perform well in the first semester fueled me to work harder than I would have otherwise to internalize the material and all of its nuances. ",Disagree,Strongly Disagree,Agree,"Private Law, Public Interest/Government, Clerkship",No,I would just be deeply upset that and work significantly less on understanding/learning the law. ,See above .,"I think this would be a terrible system. It would drastically discourage students from working hard to understand the material and, more importantly, from learning to apply legal ideas to fact patterns by taking practice tests. That was the most valuable part of my first semester -- the time in which I felt that I was actually thinking like a lawyer. In a class of 450 students, employers would throw their hands up at a system where every single student received the exact same grade. It would privilege students coming from elite undergraduate schools and/or those who have years of professional experience rather than those who understand legal concepts best after a full year of law school. ",White,Male,No,No,No
2/22/2020 10:46:45,1L,B+,A-,B,Neutral,Disagree,Disagree,Strongly Agree,"I’ve never cared much about grades before. I always prioritized getting the most out of the material, and trusted that whatever grades I got would reflect that. This was the first time I’ve felt anxiety during an exam period. I had two panic attacks the week before exams. I have never experienced anything like it before. I am usually very calm and unaffected by tests. It was scary.",Strongly Agree,Strongly Agree,Agree,"Private Law, Clerkship",Yes,"I think it would give me the chance to actually engage with the material rather than simply cramming the elements that we anticipate being tested on. For example, in Torts our most interesting class was our last one when we discussed how the tort system will handle self-driving cars. However, because we knew it wouldn’t be tested, most of my class didn’t even do the reading, let alone engage in discussions of the issue outside of class. And yet that’s probably one issue in torts that will likely touch all of our lives some time in the future! What a waste. ","I hope it would allow me and my peers to focus more on learning the law, and less on trying to figure out the idiosyncrasies of each Professor’s grading style. ",,"White, Asian",Female,No,No,No
2/22/2020 10:48:32,1L,B+,B,B+,Neutral,Neutral,Disagree,Strongly Agree,"Recognizing that my grade was wholly dependent on the performance of my classmates made it easier to accept that it wasn't my performance that was below standard, but it made me feel much more competitive",Neutral,Agree,Disagree,"Public Interest/Government, Clerkship",No,It would make me feel less competitive and insecure about my performance compared to classmates ,"It would make it harder for me to gauge my understanding/performance which I think is important for selecting later courses, bar prep, and some career choices ",,White,Female,No,No,No
2/22/2020 10:49:09,1L,B-,B,B-,Disagree,Disagree,Strongly Disagree,Agree,"1. Helpless b/c I realized that the grades I received didn't reflect how ""I"" did--it was based on how other people did and my answer was graded relative to other's. 2. Confused b/c some of the professors didn't even have model answers ready when they posted grades--then on what basis did the profs grade our exams? 3. First year in law school is supposed to be the year that grades matter the most (relative to second and third year) why not be an angel and make it at least a P/F option for some classes?",Strongly Agree,Strongly Agree,Strongly Agree,Private Law,Yes,"It would definitely improve my mental health, as well as making the material more engaging and the learning process more autonomous (you can divert your energy to the courses you're more passionate about and really delve into the course without worrying about getting a B in a less-interested course)",I wish someone had done this before I came to law school. ,,Prefer Not to Answer,Female,No,No,Yes
2/22/2020 10:52:13,1L,B+,B+,A,Agree,"Disagree, Strongly Disagree",Strongly Disagree,Agree,"Trying to avoid the B- is extremely nerve-wracking, and as soon as grades came out, you can tell that everyone felt like they had been ""sorted."" I certainly felt (and do feel) that I am no longer as confident as I once was. More importantly, EIW has shifted up to March, which means that you are stuck to whatever grades you happened to get during your first law school exams ever.",Disagree,Strongly Agree,Agree,Private Law,Yes,SIGNIFICANTLY.,Relieve me of comparing myself to others based on 4 hours in a room and not feeling like I'm not good enough.,I really hate the mandatory curve. So much anxiety and self-consciousness.,White,Male,No,No,No
